Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SCS01G02982,2022.06,2110,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SCS01G02982,2023.06,2383,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SCS01G02991,2009.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02991,2010.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02991,2011.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02991,2012.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02991,2013.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02991,2014.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02991,2015.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02991,2016.06,99,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02991,2017.06,75,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02991,2018.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02991,2019.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02991,2020.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02991,2021.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02991,2022.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02991,2023.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02992,2009.06,5,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2010.06,3,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2011.06,4188,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2012.06,361,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2013.06,1,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2014.06,4,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2015.06,10,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2016.06,8,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2017.06,5,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2018.06,4,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2019.06,5,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2020.06,6,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2021.06,3,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2022.06,2,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02992,2023.06,3,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SCS01G02998,2009.06,57681,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SCS01G02998,2010.06,53179,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SCS01G02998,2011.06,54678,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SCS01G02998,2012.06,58526,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SCS01G02998,2013.06,62293,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SCS01G02998,2014.06,65266,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SCS01G02998,2015.06,70109,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Taxation revenue,,,,
